City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
326,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,Ibis Styles
329,Mitsamiouli,KM,82.02,clear sky,-11.3847,43.2844,Hotel le Paradis
335,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Hotel Prainha
344,Atar,MR,81.34,few clouds,20.5169,-13.0499,فندق سكليل
348,Kariba,ZW,76.62,moderate rain,-16.5167,28.8,Lodge
359,Ternate,ID,79.61,overcast clouds,0.8,127.4,Boulivard ternate
363,Kinshasa,CD,89.98,few clouds,-4.3246,15.3215,Ariana
366,Takoradi,GH,83.82,overcast clouds,4.8845,-1.7554,Hillcrest
367,Bahia Blanca,AR,73.71,overcast clouds,-38.7196,-62.2724,Hotel Austral Bahía
370,Suclayin,PH,71.22,overcast clouds,15.7568,121.5503,Bay-ler View
371,Hervey Bay,AU,78.89,broken clouds,-25.2986,152.8535,Hervey Bay Hotel
372,Namibe,AO,73.18,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
375,Santa Ines,BR,86.95,broken clouds,-3.6667,-45.38,Hotel Carajás
376,Mumbwa,ZM,70.95,light rain,-14.9783,27.0619,La Hacienda
386,Kualakapuas,ID,75.2,overcast clouds,-3.0091,114.3876,Hotel Bayu
389,Mtwara,TZ,85.33,few clouds,-10.2667,40.1833,Newala Guest House
398,Buchanan,LR,86.31,broken clouds,5.8808,-10.0467,Phillipmena's Guesthouse
399,Bull Savanna,JM,80.04,few clouds,17.8868,-77.5902,Junction Guest House
406,Pitimbu,BR,86.59,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
414,Fare,PF,80.42,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
416,Louis Trichardt,ZA,80.33,scattered clouds,-23.0439,29.9032,Clouds' End Hotel
421,Dumai,ID,74.64,overcast clouds,1.6833,101.45,Comfort Hotel
423,Ballina,AU,72.79,broken clouds,-28.8667,153.5667,Ballina Beach Resort
425,Bulnes,CL,77.76,broken clouds,-36.7423,-72.2985,Hotel Casa de Adobe
430,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
435,Bukama,CD,75.07,light rain,-9.2,25.85,Mission catholique
436,Ghanzi,BW,82.22,broken clouds,-21.5667,21.7833,Ghanzi farmhouse
437,Banjar,ID,77.72,overcast clouds,-8.19,114.9675,Villa Banjar Beach
443,Vao,NC,76.42,few clouds,-22.6667,167.4833,Nataiwatch
450,Kununurra,AU,78.78,moderate rain,-15.7667,128.7333,Kununurra Country Club Resort
465,Cuamba,MZ,71.65,few clouds,-14.8031,36.5372,Pensao Cariaco
475,Bacolod,PH,76.32,broken clouds,10.6667,122.95,Northwest Inn
477,Chisec,GT,79.03,scattered clouds,15.8167,-90.2833,bombil pek
480,Bontang,ID,77.02,overcast clouds,0.1333,117.5,Hotel Sederhana
492,Inhambane,MZ,78.21,broken clouds,-23.865,35.3833,Hotel de Inhambane
494,Kapit,MY,73.63,overcast clouds,2.0167,112.9333,Haip
498,Caravelas,BR,85.1,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
499,Upata,VE,80.19,scattered clouds,8.0086,-62.3989,Hotel Garibardi
504,Maraba,BR,89.78,broken clouds,-5.3686,-49.1178,Portobelo
507,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Terra Sur
513,Alice Springs,AU,72.95,broken clouds,-23.7,133.8833,Aurora Alice Springs
517,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Hotel Hero
520,Pitrufquen,CL,71.62,clear sky,-38.9833,-72.65,Hotel Plaza
524,Tagusao,PH,77.52,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
525,Chokwe,MZ,81.55,overcast clouds,-24.5333,32.9833,Limpopo Hotel
527,Maragogi,BR,83.86,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
528,Samarinda,ID,73.76,overcast clouds,-0.5,117.15,Hotel Bumi Senyiur
529,Kendari,ID,75.47,overcast clouds,-3.945,122.4989,City Hotel Kendari
537,Christiana,ZA,78.67,broken clouds,-27.914,25.1611,Christiana All Seasons Hotel & Conference Centre
538,Depok,ID,82.63,overcast clouds,-6.4,106.8186,favehotel Margonda
539,Mbandaka,CD,82.33,overcast clouds,0.0487,18.2603,Hôtel Epervier
545,Saint-Leu,RE,81.46,overcast clouds,-21.15,55.2833,Iloha Seaview Hôtel
548,Takhli,TH,71.74,scattered clouds,15.2634,100.3438,budget resort
550,Ambilobe,MG,75.92,moderate rain,-13.2,49.05,Hôtel National
552,Hualmay,PE,76.77,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
554,Champerico,GT,88.34,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
556,Correntina,BR,86.47,clear sky,-13.3433,-44.6367,Pousada Silva
557,La Romana,DO,82.76,scattered clouds,18.4273,-68.9728,Hotel Frano
558,Daru,PG,77.85,overcast clouds,-9.0763,143.2092,Kuki
570,Cap Malheureux,MU,78.48,light rain,-19.9842,57.6142,Cape Garden
571,Jaru,BR,72.88,overcast clouds,-10.4389,-62.4664,Hotel avenida
572,Sinnamary,GF,79.32,scattered clouds,5.3833,-52.95,Hôtel du fleuve
586,Perth,AU,70.66,clear sky,-31.9333,115.8333,Oxford Hotel
588,Rocha,UY,83.35,scattered clouds,-34.4833,-54.3333,Hotel Municipal
589,Sinjai,ID,76.08,overcast clouds,-5.1241,120.253,Hotel Sinjai
595,Clarence Town,AU,71.85,few clouds,-32.5833,151.7833,Erringhi Hotel
596,Trincomalee,LK,76.86,light rain,8.5711,81.2335,Silver Star Inn
599,Wau,SS,89.46,few clouds,7.7029,27.9953,Safari Park Hotel
601,Richards Bay,ZA,75.87,light rain,-28.783,32.0377,Protea Hotel
603,Praya,CV,77.54,few clouds,14.9215,-23.5087,Casa Sodadi
607,Ovalle,CL,82.92,broken clouds,-30.5983,-71.2003,Hotel Roxy
609,Huarmey,PE,75.79,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
633,Eyl,SO,74.79,clear sky,7.9803,49.8164,فندق ايل دابي
637,Grand-Lahou,CI,83.21,overcast clouds,5.1367,-5.0242,Cap Lahou
639,Ilo,PE,77.86,clear sky,-17.6394,-71.3375,Hostal Central
640,Diamantino,BR,88.39,scattered clouds,-14.4086,-56.4461,Hotel kayaby
642,Aketi,CD,84.27,scattered clouds,2.7388,23.7833,Hôtel Mabinza
644,Kefamenanu,ID,72.93,overcast clouds,-9.4467,124.4781,Hotel Setangkai
645,Aquidauana,BR,84.76,light rain,-20.4711,-55.7872,Hotel Pantaneiro
649,Cristalina,BR,78.04,broken clouds,-16.7686,-47.6136,Goyás
673,Marsh Harbour,BS,75.92,few clouds,26.5412,-77.0636,Lofty Fig Villas
684,Wembley,AU,70.68,clear sky,-31.9333,115.8,Vibe Hotel Subiaco
693,Rio Grande,BR,89.71,clear sky,-32.035,-52.0986,Hotel Vila Moura Executivo
