City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
69,Cape Town,ZA,-33.9258,18.4232,74.91,56,0,14.97,clear sky
70,Khatanga,RU,71.9667,102.5,-42.93,100,70,5.44,broken clouds
71,Atuona,PF,-9.8,-139.0333,78.93,78,100,25.81,overcast clouds
72,Rawson,AR,-43.3002,-65.1023,65.71,41,0,14.0,clear sky
73,Cidreira,BR,-30.1811,-50.2056,83.3,61,12,10.09,few clouds
74,Monte Patria,CL,-30.6919,-70.9467,81.25,45,84,7.58,broken clouds
75,Saint-Philippe,RE,-21.3585,55.7679,81.99,80,100,8.43,overcast clouds
76,Salalah,OM,17.0151,54.0924,75.29,60,75,4.61,broken clouds
77,Georgetown,MY,5.4112,100.3354,83.95,76,20,4.61,few clouds
78,Pangani,TZ,-5.4333,38.9667,78.24,79,15,9.95,few clouds
79,Chuy,UY,-33.6971,-53.4616,84.04,54,9,11.59,clear sky
80,Port Lincoln,AU,-34.7333,135.8667,63.41,63,97,10.92,overcast clouds
81,Fortuna,US,40.5982,-124.1573,36.36,74,0,10.36,clear sky
82,Tungor,RU,53.3808,142.9564,-15.68,93,42,7.7,scattered clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,51,0,23.02,clear sky
84,Maymyo,MM,22.0333,96.4667,61.43,54,0,0.67,clear sky
85,Chara,RU,56.9064,118.2631,-10.3,73,88,4.29,overcast clouds
86,Yeppoon,AU,-23.1333,150.7333,78.58,85,83,10.36,broken clouds
87,Karratha,AU,-20.7377,116.8463,87.4,63,9,11.95,clear sky
88,Severo-Kurilsk,RU,50.6789,156.125,21.04,65,55,7.99,broken clouds
89,Nishihara,JP,26.1842,127.7558,61.88,67,75,4.61,broken clouds
90,Sabha,LY,27.0377,14.4283,58.3,21,0,6.71,clear sky
91,Skjervoy,NO,70.0311,20.9714,32.0,60,100,10.27,light snow
92,Saint George,US,37.1041,-113.5841,29.43,48,0,4.61,clear sky
93,Aklavik,CA,68.2191,-135.0107,-32.13,100,56,1.45,broken clouds
94,Batagay-Alyta,RU,67.8006,130.4114,-12.01,99,100,2.44,overcast clouds
95,Port Alfred,ZA,-33.5906,26.891,74.17,89,47,8.99,scattered clouds
96,Bredasdorp,ZA,-34.5322,20.0403,74.46,68,0,15.32,clear sky
97,Carnarvon,AU,-24.8667,113.6333,76.24,82,0,18.86,clear sky
98,Sechura,PE,-5.5569,-80.8222,80.76,58,93,1.5,overcast clouds
99,Komsomolskiy,UZ,40.4272,71.7189,32.72,69,99,0.0,mist
100,Preetz,DE,54.2333,10.2833,45.07,84,75,26.46,light rain
101,Hobart,AU,-42.8794,147.3294,57.25,89,75,0.0,broken clouds
102,Lorengau,PG,-2.0226,147.2712,80.64,77,100,5.23,overcast clouds
103,Varna,BG,43.2167,27.9167,35.74,92,75,9.22,broken clouds
104,Yellowknife,CA,62.456,-114.3525,-33.45,74,20,9.22,few clouds
105,Chokurdakh,RU,70.6333,147.9167,5.9,97,98,4.43,overcast clouds
106,Oudtshoorn,ZA,-33.5907,22.2014,71.96,36,24,13.56,few clouds
107,Iqaluit,CA,63.7506,-68.5145,-16.87,69,100,21.85,light snow
108,Necochea,AR,-38.5473,-58.7368,80.82,58,39,14.07,scattered clouds
109,Poum,NC,-20.2333,164.0167,77.43,76,25,4.88,scattered clouds
110,Mandalgovi,MN,45.7625,106.2708,3.4,67,4,3.15,clear sky
111,Madarounfa,NE,13.3087,7.156,95.38,8,60,8.55,broken clouds
112,Chernyshevskiy,RU,63.0128,112.4714,-39.53,100,77,2.44,broken clouds
113,Seoul,KR,37.5683,126.9778,43.99,93,75,5.75,fog
114,Alibag,IN,18.6411,72.8792,80.67,75,15,10.22,few clouds
115,New Norfolk,AU,-42.7826,147.0587,56.91,91,50,2.75,scattered clouds
116,Bilokurakyne,UA,49.5341,38.7307,28.62,99,90,3.51,overcast clouds
117,Arsikere,IN,13.3139,76.2561,75.51,44,100,11.41,light rain
118,Butaritari,KI,3.0707,172.7902,80.2,78,74,19.26,light rain
119,Mount Gambier,AU,-37.8333,140.7667,60.08,69,92,5.28,overcast clouds
120,Gorontalo,ID,0.5412,123.0595,74.39,96,84,3.91,broken clouds
121,Souillac,MU,-20.5167,57.5167,79.18,94,40,4.61,light rain
122,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,6.91,heavy snow
123,Beringovskiy,RU,63.05,179.3167,27.59,95,98,14.56,light snow
124,Esperance,AU,-33.8667,121.9,62.55,73,100,16.13,overcast clouds
125,Waingapu,ID,-9.6567,120.2641,80.02,81,100,5.61,overcast clouds
126,Dunedin,NZ,-45.8742,170.5036,63.81,99,100,3.0,overcast clouds
127,Lebu,CL,-37.6167,-73.65,61.14,61,1,19.04,clear sky
128,Bolobo,CD,-2.1667,16.2333,87.46,48,78,3.04,broken clouds
129,Pingliang,CN,35.5392,106.6861,31.01,25,92,6.82,overcast clouds
130,Kavieng,PG,-2.5744,150.7967,81.93,72,100,5.12,overcast clouds
131,Itarema,BR,-2.9248,-39.9167,85.55,61,92,14.41,overcast clouds
132,Mabaruma,GY,8.2,-59.7833,84.43,47,33,5.46,scattered clouds
133,Florence,IT,43.7667,11.25,55.67,52,0,4.61,clear sky
